Address, Price ,Last Sales Date
1222 RED ASH CIR," $102,000.00 ",11/13/2013
1220 RED ASH CIR," $127,500.00 ",5/15/2002
1218 RED ASH CIR," $120,000.00 ",2/19/2002
1216 RED ASH CIR," $127,500.00 ",2/19/2002
1214 RED ASH CIR," $130,000.00 ",12/18/2001
1212 RED ASH CIR," $130,000.00 ",5/27/2008
1210 RED ASH CIR," $124,500.00 ",9/3/2003
1208 RED ASH CIR," $115,000.00 ",5/2/2002
1207 RED ASH CIR," $120,000.00 ",3/31/2017
1204 RED ASH CIR," $128,000.00 ",5/21/2002
1202 RED ASH CIR," $135,000.00 ",6/17/2005
1207 RED ASH CIR," $120,000.00 ",3/31/2017
1203 RED ASH CIR," $110,000.00 ",3/22/2012
1205 RED ASH CIR," $122,000.00 ",8/17/2004
1209 MARNE AVE," $139,000.00 ",5/24/2017
1209 RED ASH CIR," $110,000.00 ",1/14/2013
1211 RED ASH CIR," $97,000.00 ",12/18/2015
1213 RED ASH CIR," $104,000.00 ",9/5/2014
1215 RED ASH CIR," $125,000.00 ",8/21/2002
1217 RED ASH CIR," $106,000.00 ",6/11/2014
1219 RED ASH CIR," $97,000.00 ",10/1/2014
1222 RED ASH CIR," $102,000.00 ",11/13/2013
1220 RED ASH CIR," $127,500.00 ",5/15/2002
1218 RED ASH CIR," $120,000.00 ",2/19/2002
1216 RED ASH CIR," $127,500.00 ",2/19/2002
1214 RED ASH CIR," $130,000.00 ",12/18/2001
1212 RED ASH CIR," $130,000.00 ",5/27/2008
1210 RED ASH CIR," $124,500.00 ",9/3/2003
1208 RED ASH CIR," $115,000.00 ",5/2/2002
1201 RED ASH CIR," $127,000.00 ",6/23/2017
1204 RED ASH CIR," $128,000.00 ",5/21/2002
1202 RED ASH CIR," $135,000.00 ",6/17/2005
1201 RED ASH CIR," $127,000.00 ",6/23/2017
1203 RED ASH CIR," $110,000.00 ",3/22/2012
1205 RED ASH CIR," $122,000.00 ",8/17/2004
4215 HOLSTON DR," $129,000.00 ",10/31/2017
1209 RED ASH CIR," $110,000.00 ",1/14/2013
1211 RED ASH CIR," $97,000.00 ",12/18/2015
1213 RED ASH CIR," $104,000.00 ",9/5/2014
1215 RED ASH CIR," $125,000.00 ",8/21/2002
1217 RED ASH CIR," $106,000.00 ",6/11/2014
1219 RED ASH CIR," $97,000.00 ",10/1/2014
1206 RED ASH CIR," $122,000.00 ",6/12/2018
4203 HOLSTON DR," $94,500.00 ",6/21/2013
4205 HOLSTON DR," $87,500.00 ",9/9/2013
4207 HOLSTON DR," $123,000.00 ",9/12/2003
4209 HOLSTON DR," $129,000.00 ",8/14/2009
4211 HOLSTON DR," $64,000.00 ",11/9/2015
4213 HOLSTON DR," $91,000.00 ",8/17/2012
1206 RED ASH CIR," $122,000.00 ",6/12/2018
4217 HOLSTON DR," $128,000.00 ",8/8/2018
4219 HOLSTON DR," $100,000.00 ",6/24/2011
4221 HOLSTON DR," $147,500.00 ",2016 Q1
4223 HOLSTON DR," $162,500.00 ",2016 Q1
1242 MARNE AVE,"162,500",2016 Q1
1236 MARNE AVE,"72,000",3/22/2010
1228 MARNE AVE,"57,000",2/28/2011
1220 MARNE AVE,"90,500",3/26/2015
1210 MARNE AVE,"72,500",11/29/2011
1202 MARNE AVE,"162,500",2016 Q1
1205 MARNE AVE,"162,500",2016 Q1
1213 MARNE AVE,"102,000",2/26/2016
1221 MARNE AVE,"70,000",3/12/2010
1229 MARNE AVE,"92,500",5/20/2015
1237 MARNE AVE,"76,000",11/13/2015
1240 MARNE AVE,"78,600",6/27/2012
1224 MARNE AVE,"139,628",2/28/2011
1206 MARNE AVE,"162,500",2016 Q1
4201 HOLSTON DR," $143,000.00 ",8/21/2018
1225 MARNE AVE,"90,000",12/30/2015
1218 MARNE AVE,"162,500",2016 Q1
1232 MARNE AVE,"97,000",8/15/2014
1201 MARNE AVE,"162,500",2016 Q1
1233 MARNE AVE,"63,500",3/18/2010
1214 MARNE AVE,"143,872",9/20/2010
1217 MARNE AVE,"113,000",8/31/2016
,,
,,
,,
